409056 Tuppal @ Aratula Rd	go('409056','rs',1)
409061 Wakool R Coonamit Br	go('409061','rs',1)
409062 Wakool R Geegee Br 2	go('409062','rs',1)
409075 Bullatale U/S Edward	go('409075','rs',1)
409086 Niemur @ Mallan Sch	go('409086','rs',1)
409098 Waddy Ck D/S Regular	go('409098','rs',1)
409101 Edward U/S Stevens W	go('409101','rs',1)
409107 St Helena Ds Regulat	go('409107','rs',1)
409108 Murray @ Mulwala Ot	go('409108','rs',1)
409109 Thule @ Low Thule Rd	go('409109','rs',1)
409111 Barber @ Sandy Br.	go('409111','rs',1)
409113 Barbers @ Pool	go('409113','rs',1)
409114 Kpf Offtake	go('409114','rs',1)
409202A Murray At Tocumwal	go('409202A','rs',1)
409204C Murray R @ Swan Hill	go('409204C','rs',1)
409216A Murray U/S Ywonga	go('409216A','rs',1)
072082 Bago@Yaven C Rainfal	go('072082','rs',1)
072169 Courabyra Rainfall	go('072169','rs',1)
073019 Junee Rainfall	go('073019','rs',1)
410001 M/Bidgee R @ Wagga	go('410001','rs',1)
41000200 Nimbo Offtake	go('41000200','rs',1)
41000207 Muttama @ Berthong	go('41000207','rs',1)
41000208 Molonglo @ Kobada	go('41000208','rs',1)
41000209 Yanco Creek @ Wiraki	go('41000209','rs',1)
41000210 Colombo@Coonong Weir	go('41000210','rs',1)
41000212 Yanco @ Tarabah Stor	go('41000212','rs',1)
41000213 Yanco D/S Tarabah Wr	go('41000213','rs',1)
41000236 Talpee Ck D/S Pv J	go('41000236','rs',1)
41000240 Waugorah U/S Reg	go('41000240','rs',1)
41000244 Woolshed Ck D/S Reg	go('41000244','rs',1)
41000254 Jugiong@Cumbamurra2	go('41000254','rs',1)
41000255 Nthredbank @ Glendee	go('41000255','rs',1)
41000256 Nthredbank @ Athen	go('41000256','rs',1)
41000260 M/Bidgee @ Yaouk No2	go('41000260','rs',1)
41000261 Goobarra @ Macs Xing	go('41000261','rs',1)
41000263 Narwie Off @ Red Chl	go('41000263','rs',1)
41000269 Brungle Ck @ Redhill	go('41000269','rs',1)
41000270 Bredbo@Bredbo Stn	go('41000270','rs',1)
41000271 Alum@Jones Plain Rd	go('41000271','rs',1)
41000272 M/Bidgee @ Michlago	go('41000272','rs',1)
41000275 Dpi-Wagga Aws	go('41000275','rs',1)
41000279 Brookong At Hollies	go('41000279','rs',1)
41000280 Burkes Ck @  Mango	go('41000280','rs',1)
41000281 Mbg Rv @ Carrath Br	go('41000281','rs',1)
41000282 Mirrool Ck @Barellan	go('41000282','rs',1)
41000283 Mirrool Ck @ Emr	go('41000283','rs',1)
410004 M/Bidgee @ Gundagai	go('410004','rs',1)
410005 M/Bidgee Narrandera	go('410005','rs',1)
410006 Tumut River @ Tumut	go('410006','rs',1)
410007 Yanco Ck @ Offtake	go('410007','rs',1)
410008 M/Bidgee D/S B/Juck	go('410008','rs',1)
410012 Billab/G Cocketged/G	go('410012','rs',1)
410013 Main Canal @ Berembe	go('410013','rs',1)
410014 Colombo @ Morundah	go('410014','rs',1)
410015 Yanco Ck @ Morundah	go('410015','rs',1)
410016 Billabong Jerilderie	go('410016','rs',1)
410017 Billabong @ Conargo	go('410017','rs',1)
41001701 Numeralla@Chakola	go('41001701','rs',1)
41001702 U/S Angle Crossing	go('41001702','rs',1)
410021 M/Bidgee Darl/Gton P	go('410021','rs',1)
410023 M/Bidgee D/S B/Bed	go('410023','rs',1)
410024 Goodradigbee Weejspr	go('410024','rs',1)
410025 Jugiong Ck @ Jugiong	go('410025','rs',1)
410026 Yass River @ Yass	go('410026','rs',1)
410033 M/Bidgee @ Mittagang	go('410033','rs',1)
410036 M/Bidgee D/S Yanco W	go('410036','rs',1)
410038 Adjungbilly Dbalara	go('410038','rs',1)
410039 Tumut @ Brungle Bdge	go('410039','rs',1)
410040 M/Bidgee D/S Maude W	go('410040','rs',1)
410041 M/Bidgee D/S Redbank	go('410041','rs',1)
410043 Hillas @ Mount Adrah	go('410043','rs',1)
410044 Muttama Ck @ Coolac	go('410044','rs',1)
410047 Tarcutta @ Borambola	go('410047','rs',1)
410048 Kyeamba @ Ladysmith	go('410048','rs',1)
410050 M/Bidgee Billilingra	go('410050','rs',1)
410057 Gooba/Gndra Lacmalac	go('410057','rs',1)
410058 Tarcutta @ Westbrook	go('410058','rs',1)
410059 Gilmore @ Gilmore	go('410059','rs',1)
410060 Nimming Pollen Oftke	go('410060','rs',1)
410061 Adelong @ Batlow Rd	go('410061','rs',1)
410062 Numeralla School	go('410062','rs',1)
410068 M/Bidgee @ Glendale	go('410068','rs',1)
410073 Tumut @ Oddys Bdge	go('410073','rs',1)
410076 Strike-A-Light Creek	go('410076','rs',1)
410078 M/Bidgee @ Carrathoo	go('410078','rs',1)
410081 Cooma Ck @ Cooma No2	go('410081','rs',1)
410082 M/Bidgee D/S Gogel W	go('410082','rs',1)
410088 Goodradigbee B/Bella	go('410088','rs',1)
410090 Yass Rv @ Gundaroo	go('410090','rs',1)
410091 Bbong @ Walbundrie	go('410091','rs',1)
410092 Cunninghams @ Harden	go('410092','rs',1)
410093 Old Man Ck @ Kywong	go('410093','rs',1)
410097 Billabong @ Aberfeld	go('410097','rs',1)
410102 Blowering Dam	go('410102','rs',1)
41010287 Nimmie Storage	go('41010287','rs',1)
410103 Houlaghans @Downside	go('410103','rs',1)
41010309 Forest @ Offtake	go('41010309','rs',1)
41010399 Forest U/S Offtake	go('41010399','rs',1)
410106 Gilmore @ Wybalena	go('410106','rs',1)
410107 Mountain Ck @ Mtn Ck	go('410107','rs',1)
410108 D C 800 @ Outfall	go('410108','rs',1)
41010810 Bbong @ Wanganella	go('41010810','rs',1)
41010904 Berembed Storage	go('41010904','rs',1)
41010922 Gogeldrie Storage	go('41010922','rs',1)
41010928 Hay Storage	go('41010928','rs',1)
41010941 Maude Storage	go('41010941','rs',1)
41010966 Redbank Storage	go('41010966','rs',1)
41010969 Inlet Tombullen	go('41010969','rs',1)
41010970 Tombullen D/S Weir	go('41010970','rs',1)
41010971 Tombullen Storage	go('41010971','rs',1)
41010981 Yanco Storage	go('41010981','rs',1)
410110 D C 500 @ Outfall	go('410110','rs',1)
410112 Jindalee @ Jindalee	go('410112','rs',1)
410114 Killimcat @ Wyangle	go('410114','rs',1)
410128 Coleambally Offtake	go('410128','rs',1)
410130 M/Bidgee D/S Balrand	go('410130','rs',1)
410131 Burrinjuck Dam	go('410131','rs',1)
410133 Coleambally Dr Bundy	go('410133','rs',1)
410134 Billabong @ Darlot	go('410134','rs',1)
410136 M/Bidgee Ds Hay Weir	go('410136','rs',1)
410137 Beavers Ck Mundowey	go('410137','rs',1)
410138 M Canal D/S Bundidg	go('410138','rs',1)
410141 Micaligo @ Michelago	go('410141','rs',1)
410143 M/Bidgee Eringoarrah	go('410143','rs',1)
410148 Forest Warristonweir	go('410148','rs',1)
410152 Stony @ Edwardstown	go('410152','rs',1)
410155 Tarcutta Belmore Br.	go('410155','rs',1)
410156 Kyeamba @ Book Book	go('410156','rs',1)
410160 Williams @ Whitehill	go('410160','rs',1)
410168 Billabong @ Hartwood	go('410168','rs',1)
410169 Yanco @ Yanco Bridge	go('410169','rs',1)
410170 B/Bong U/S Innes Bdg	go('410170','rs',1)
410173 Caira Creek @ Offtak	go('410173','rs',1)
410175 Caira North	go('410175','rs',1)
410176 Yass @ U/S B/Juck	go('410176','rs',1)
410182 Billabong @ Hillview	go('410182','rs',1)
410183 Billabong @ Parkside	go('410183','rs',1)
410185 Nowranie D/S B/Bong	go('410185','rs',1)
410186 B/Bong D/S 10-Mtn Ck	go('410186','rs',1)
410187 Ten Mile @H/Brook #3	go('410187','rs',1)
410190 Bundidgerry Storage	go('410190','rs',1)
410191 Ccd @ Outfall	go('410191','rs',1)
410195 M/Bidgee U/S Gobarra	go('410195','rs',1)
410199 Tumut U/S Nimbo O/T	go('410199','rs',1)
410700 Cotter @Kiosk	go('410700','rs',1)
410705 Molonglo At Burbong	go('410705','rs',1)
410730 Cotter R. At Gingera	go('410730','rs',1)
410738 Mbidgee At Mt Mcdon	go('410738','rs',1)
410747 Cotter Below Bendora	go('410747','rs',1)
410752 Cotter Below Corin	go('410752','rs',1)
410756 Molonglo At Coppins	go('410756','rs',1)
410761 Mbgee At Lobbs Hole	go('410761','rs',1)
410770 Qbn R. At Act Border	go('410770','rs',1)
410777 Mbidgee At Halls	go('410777','rs',1)
410851 Yass @ Macks Reef Rd	go('410851','rs',1)
572028 Upper Goob Rainfall	go('572028','rs',1)
572031 Peppercorn Rainfalll	go('572031','rs',1)
573015 Mundarlo Rainfall	go('573015','rs',1)
573016 Adjungbilly Rainfall	go('573016','rs',1)
411003 Butmaroo Ck@Butmaroo	go('411003','rs',1)
